study	transformed	untransformed	method
ALSPAC	ALSPAC_zpef_all_chr15_rg_18072019.gz	ALSPAC_peff8res_all_chr15_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr16_rg_18072019.gz	ALSPAC_peff8res_all_chr16_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr17_rg_18072019.gz	ALSPAC_peff8res_all_chr17_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr18_rg_18072019.gz	ALSPAC_peff8res_all_chr18_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr19_rg_18072019.gz	ALSPAC_peff8res_all_chr19_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr2_rg_18072019.gz	ALSPAC_peff8res_all_chr2_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr20_rg_18072019.gz	ALSPAC_peff8res_all_chr20_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr21_rg_18072019.gz	ALSPAC_peff8res_all_chr21_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr22_rg_18072019.gz	ALSPAC_peff8res_all_chr22_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr3_rg_18072019.gz	ALSPAC_peff8res_all_chr3_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr4_rg_18072019.gz	ALSPAC_peff8res_all_chr4_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr5_rg_18072019.gz	ALSPAC_peff8res_all_chr5_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr6_rg_18072019.gz	ALSPAC_peff8res_all_chr6_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr7_rg_18072019.gz	ALSPAC_peff8res_all_chr7_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr8_rg_18072019.gz	ALSPAC_peff8res_all_chr8_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_all_chr9_rg_18072019.gz	ALSPAC_peff8res_all_chr9_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_females_chrX_rg_02082019.gz	ALSPAC_peff8res_females_chrX_rg_14102020.gz	check
ALSPAC	ALSPAC_zpef_males_chrX_rg_02082019.gz	ALSPAC_peff8res_males_chrX_rg_14102020.gz	check
ALSPAC	ALSPAC_zratio_all_chr1_rg_18072019.gz	ratiof8res_chr1.gz	check
ALSPAC	ALSPAC_zratio_all_chr10_rg_18072019.gz	ratiof8res_chr10.gz	check
ALSPAC	ALSPAC_zratio_all_chr11_rg_18072019.gz	ratiof8res_chr11.gz	check
ALSPAC	ALSPAC_zratio_all_chr12_rg_18072019.gz	ratiof8res_chr12.gz	check
ALSPAC	ALSPAC_zratio_all_chr13_rg_18072019.gz	ratiof8res_chr13.gz	check
ALSPAC	ALSPAC_zratio_all_chr14_rg_18072019.gz	ratiof8res_chr14.gz	check
ALSPAC	ALSPAC_zratio_all_chr15_rg_18072019.gz	ratiof8res_chr15.gz	check
ALSPAC	ALSPAC_zratio_all_chr16_rg_18072019.gz	ratiof8res_chr16.gz	check
ALSPAC	ALSPAC_zratio_all_chr17_rg_18072019.gz	ratiof8res_chr17.gz	check
ALSPAC	ALSPAC_zratio_all_chr18_rg_18072019.gz	ratiof8res_chr18.gz	check
ALSPAC	ALSPAC_zratio_all_chr19_rg_18072019.gz	ratiof8res_chr19.gz	check
ALSPAC	ALSPAC_zratio_all_chr2_rg_18072019.gz	ratiof8res_chr2.gz	check
ALSPAC	ALSPAC_zratio_all_chr20_rg_18072019.gz	ratiof8res_chr20.gz	check
ALSPAC	ALSPAC_zratio_all_chr21_rg_18072019.gz	ratiof8res_chr21.gz	check
ALSPAC	ALSPAC_zratio_all_chr22_rg_18072019.gz	ratiof8res_chr22.gz	check
ALSPAC	ALSPAC_zratio_all_chr3_rg_18072019.gz	ratiof8res_chr3.gz	check
ALSPAC	ALSPAC_zratio_all_chr4_rg_18072019.gz	ratiof8res_chr4.gz	check
ALSPAC	ALSPAC_zratio_all_chr5_rg_18072019.gz	ratiof8res_chr5.gz	check
ALSPAC	ALSPAC_zratio_all_chr6_rg_18072019.gz	ratiof8res_chr6.gz	check
ALSPAC	ALSPAC_zratio_all_chr7_rg_18072019.gz	ratiof8res_chr7.gz	check
ALSPAC	ALSPAC_zratio_all_chr8_rg_18072019.gz	ratiof8res_chr8.gz	check
ALSPAC	ALSPAC_zratio_all_chr9_rg_18072019.gz	ratiof8res_chr9.gz	check
ALSPAC	ALSPAC_zratio_females_chrX_rg_02082019.gz	ALSPAC_ratiof8res_females_chrX_rg_14102020.gz	check
ALSPAC	ALSPAC_zratio_males_chrX_rg_02082019.gz	ALSPAC_ratiof8res_males_chrX_rg_14102020.gz	check
ARIC_AA	ARIC_AA_FEV1_nonsmk_mrb_30102019.txt.gz	ARIC_AA_FEV1_nonsmk_untransformed_mrb.txt.gz	check
ARIC_AA	ARIC_AA_FEV1_smk_mrb_30102019.txt.gz	ARIC_AA_FEV1_smk_untransformed_mrb.txt.gz	check
ARIC_AA	ARIC_AA_FF_nonsmk_mrb_30102019.txt.gz	ARIC_AA_FF_nonsmk_untransformed_mrb.txt.gz	check
ARIC_AA	ARIC_AA_FF_smk_mrb_30102019.txt.gz	ARIC_AA_FF_smk_untransformed_mrb.txt.gz	check
ARIC_AA	ARIC_AA_FVC_nonsmk_mrb_30102019.txt.gz	ARIC_AA_FVC_nonsmk_untransformed_mrb.txt.gz	check
ARIC_AA	ARIC_AA_FVC_smk_mrb_30102019.txt.gz	ARIC_AA_FVC_smk_untransformed_mrb.txt.gz	check
ARIC_AA	ARIC_AA_PEF_nonsmk_mrb_30102019.txt.gz	ARIC_AA_PEFR_nonsmk_untransformed_mrb.txt.gz	check
ARIC_AA	ARIC_AA_PEF_smk_mrb_30102019.txt.gz	ARIC_AA_PEFR_smk_untransformed_mrb.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR1_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR1_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR10_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR10_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR11_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR11_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR12_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR12_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR13_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR13_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR14_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR14_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR15_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR15_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR16_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR16_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR17_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR17_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR18_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR18_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR19_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR19_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR2_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR2_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR20_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR20_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR21_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR21_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR22_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR22_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR3_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR3_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR4_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR4_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR5_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR5_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR6_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR6_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR7_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR7_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR8_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR8_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_nonsmk_CHR9_mrb_10112019.txt.gz	ARIC_EA_FEV1_nonsmk_CHR9_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR1_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR1_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR10_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR10_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR11_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR11_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR12_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR12_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR13_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR13_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR14_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR14_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR15_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR15_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR16_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR16_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR17_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR17_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR18_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR18_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR19_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR19_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR2_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR2_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR20_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR20_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR21_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR21_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR22_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR22_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR3_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR3_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR4_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR4_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR5_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR5_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR6_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR6_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR7_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR7_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR8_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR8_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FEV1_smk_CHR9_mrb_10112019.txt.gz	ARIC_EA_FEV1_smk_CHR9_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR1_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR1_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR10_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR10_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR11_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR11_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR12_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR12_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR13_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR13_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR14_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR14_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR15_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR15_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR16_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR16_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR17_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR17_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR18_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR18_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR19_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR19_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR2_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR2_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR20_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR20_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR21_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR21_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR22_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR22_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR3_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR3_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR4_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR4_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR5_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR5_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR6_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR6_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR7_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR7_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR8_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR8_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_nonsmk_CHR9_mrb_10112019.txt.gz	ARIC_EA_FF_nonsmk_CHR9_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR1_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR1_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR10_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR10_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR11_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR11_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR12_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR12_untransformed_mrb_08092020.txt.gz	check
